meshFamily,boundaryMode,cellsPerWavelength,cells,hOverLambda,maxNonOrthogonality,avgNonOrthogonality,pressureRelL2,pressureRelLinf,velocityRelL2,velocityInteriorRelL2,velocityBoundaryRelL2,pressureOrder,velocityOrder
warpedInterior,dirichlet,16.0,180.0,0.0625,32.7539937969,14.4065757578,0.12064523345260478,0.20992358902254282,0.13753051985930673,0.10808983058214325,0.15199061441852504,,
warpedInterior,dirichlet,24.0,405.0,0.041666666666666664,34.2313662725,14.7190341949,0.0807929642540992,0.14062929281423048,0.09703914637264606,0.07695310424657745,0.11667979024698018,0.98889988,0.86007743
warpedInterior,dirichlet,32.0,720.0,0.03125,34.1614066395,14.8360144948,0.06009827446432509,0.10405066141506893,0.0761367085653126,0.059060954998302446,0.10016119521357794,1.0285964,0.84323623
warpedInterior,dirichlet,48.0,1620.0,0.020833333333333332,34.4243605959,14.9245262615,0.039456268068817246,0.06798607916856045,0.055201900963115696,0.03977641317683771,0.08721309592715497,1.0377914,0.79299827
warpedInterior,dirichlet,64.0,2880.0,0.015625,34.5165584243,14.9576441489,0.029288133455287933,0.050318393281246855,0.04467439960000163,0.029834763766445723,0.08278513658993396,1.0359022,0.73552296
warpedInterior,dirichlet,96.0,6480.0,0.010416666666666666,34.5824654849,14.9831183114,0.01929058914554394,0.03303648141986642,0.033879608526499426,0.01982996767811079,0.0800022799021737,1.0298422,0.68214823
warpedInterior,mixed,16.0,180.0,0.0625,32.7539937969,14.4065757578,0.04255301568576497,0.08409539450220514,0.10277848484646042,0.06488526549724619,0.11933840295009229,,
warpedInterior,mixed,24.0,405.0,0.041666666666666664,34.2313662725,14.7190341949,0.023400873474603505,0.04900054260411713,0.07476124475672402,0.03369409952062373,0.104588845577109,1.4747937,0.78496621
warpedInterior,mixed,32.0,720.0,0.03125,34.1614066395,14.8360144948,0.018360729182656046,0.036695235754495764,0.062272957700597334,0.024806651465248925,0.09931539095856041,0.84315038,0.63532762
warpedInterior,mixed,48.0,1620.0,0.020833333333333332,34.4243605959,14.9245262615,0.013725240707623732,0.02848646531884075,0.04931161664355243,0.017402462865517613,0.0951616407813169,0.717639,0.57555527
warpedInterior,mixed,64.0,2880.0,0.015625,34.5165584243,14.9576441489,0.011045605284059913,0.023137352939045303,0.04212106406335882,0.013638760705763317,0.09354901154089995,0.75501364,0.54786777
warpedInterior,mixed,96.0,6480.0,0.010416666666666666,34.5824654849,14.9831183114,0.00793023269420206,0.016702798525123026,0.03391855775817568,0.009580969510086898,0.09230148984900712,0.81721029,0.53416596
