host,job_id,N,ordering,sigma_max_s_inv,mode,ranks,pressureRelL2_cell_centres,baselineDifference,seconds,max_relative_residual
WSL,,8000,forward,500000,baseline,1,0.0011632827485215543,0.0,0.7160908839432523,
WSL,,8000,forward,500000,baseline,4,0.001163282748995951,1.0305171095254778e-12,0.8573025428922847,
WSL,,8000,forward,500000,submission,1,0.0011632827485215543,0.0,0.5154335459228605,2.136264889846141e-11
WSL,,8000,forward,500000,submission,4,0.001163282748995951,1.0305171095254778e-12,0.8022555380593985,1.596624200385371e-12
WSL,,8000,reverse,500000,baseline,1,0.004430323508787522,0.0,0.4649186049355194,
WSL,,8000,reverse,500000,baseline,4,0.00443032350964068,9.126936018473428e-13,0.8020166759379208,
WSL,,8000,reverse,500000,submission,1,0.004430323508787522,0.0,0.5151501470245421,8.745145764103397e-12
WSL,,8000,reverse,500000,submission,4,0.00443032350964068,9.126936018473428e-13,0.8022402249043807,8.822297279173497e-12
WSL,,560,forward,500000,baseline,1,0.019601605354406672,0.0,0.41493443702347577,
WSL,,560,forward,500000,baseline,4,0.0196016053544067,2.625080129615902e-15,0.5510276430286467,
WSL,,560,forward,500000,submission,1,0.019601605354406672,0.0,0.4150859200162813,2.3636075704073505e-14
WSL,,560,forward,500000,submission,4,0.0196016053544067,2.625080129615902e-15,0.5524840010330081,2.4262089767172527e-14
WSL,,1120,forward,500000,baseline,1,0.00498223774061835,0.0,0.41506454802583903,
WSL,,1120,forward,500000,baseline,4,0.0049822377406148035,3.5495639886328295e-14,0.5512842469615862,
WSL,,1120,forward,500000,submission,1,0.00498223774061835,0.0,0.4154508499195799,6.707505102289573e-14
WSL,,1120,forward,500000,submission,4,0.0049822377406148035,3.5495639886328295e-14,0.5516906939446926,6.478152285942437e-14
WSL,,2240,forward,500000,baseline,1,0.0012526696977797872,0.0,0.4151707630371675,
WSL,,2240,forward,500000,baseline,4,0.0012526696977344972,2.58978203105692e-13,0.6024102870142087,
WSL,,2240,forward,500000,submission,1,0.0012526696977797872,0.0,0.41813813999760896,1.8906223885052556e-13
WSL,,2240,forward,500000,submission,4,0.0012526696977344972,2.58978203105692e-13,0.6043630560161546,1.924594418022485e-13
