x_m,Pre_sim,Pim_sim,p_abs_sim,Pre_analytic,Pim_analytic,p_abs_analytic
0.000000000000000000e+00,1.118865096941590309e-03,2.308452725410461426e-01,2.308479696512222290e-01,1.129723497446448845e-03,5.655142116827019394e-02,5.656270424344791992e-02
2.919099351856857538e-04,1.105165574699640274e-03,4.481136798858642578e-01,4.481150209903717041e-01,1.123829236726053707e-03,4.955853036306491211e-01,4.955865778719557024e-01
5.838198703713715076e-04,1.091465936042368412e-03,6.653820872306823730e-01,6.653829813003540039e-01,1.102784334698604434e-03,9.289409104631966008e-01,9.289415650435076666e-01
8.757297764532268047e-04,1.054849242791533470e-03,1.057056069374084473e+00,1.057056546211242676e+00,1.072330761828443023e-03,1.351697202461735747e+00,1.351697627813315927e+00
1.167639740742743015e-03,1.014468725770711899e-03,1.477374672889709473e+00,1.477375030517578125e+00,1.024001254904483883e-03,1.758993647152161222e+00,1.758993945214204713e+00
1.459549646824598312e-03,9.564549545757472515e-04,1.869637489318847656e+00,1.869637727737426758e+00,9.703981034584875740e-04,2.146205041990608464e+00,2.146205261371425088e+00
1.751459552906453609e-03,8.915106882341206074e-04,2.250873565673828125e+00,2.250873565673828125e+00,8.971908965392745355e-04,2.508880000298891577e+00,2.508880160719373809e+00
2.043369458988308907e-03,8.143624872900545597e-04,2.598037958145141602e+00,2.598037958145141602e+00,8.229124741550310727e-04,2.842899499919187001e+00,2.842899619020289315e+00
2.335279481485486031e-03,7.282596197910606861e-04,2.920202732086181641e+00,2.920202732086181641e+00,7.399102838943876891e-04,3.144433852496885340e+00,3.144433939550269841e+00
2.627189271152019501e-03,6.349047180265188217e-04,3.209269046783447266e+00,3.209269046783447266e+00,6.495030754875054119e-04,3.410036331965256906e+00,3.410036393820058187e+00
2.919099293649196625e-03,5.321577773429453373e-04,3.455470800399780273e+00,3.455470800399780273e+00,5.383014833780847734e-04,3.636666225131720331e+00,3.636666264971571749e+00
3.211009083315730095e-03,4.260941059328615665e-04,3.675487041473388672e+00,3.675487041473388672e+00,4.346592329311939188e-04,3.821749477863683353e+00,3.821749502581243796e+00
3.502919105812907219e-03,3.120901819784194231e-04,3.832817077636718750e+00,3.832817077636718750e+00,3.114274263195385074e-04,3.963157561429512032e+00,3.963157573665593958e+00
3.794829128310084343e-03,1.972754398593679070e-04,3.975232124328613281e+00,3.975232124328613281e+00,1.993371802215729684e-04,4.059285120657850854e+00,4.059285125552223761e+00
4.086738917976617813e-03,7.799208106007426977e-05,4.035441398620605469e+00,4.035441398620605469e+00,6.995986061776536514e-05,4.109026660158657585e+00,4.109026660754222071e+00
4.378648940473794937e-03,-4.127919237362220883e-05,4.094397544860839844e+00,4.094397544860839844e+00,-4.512980150700796799e-05,4.111817299885829335e+00,4.111817300133493447e+00
4.670558962970972061e-03,-1.595880457898601890e-04,4.054329395294189453e+00,4.054329395294189453e+00,-1.595400277820228647e-04,4.067623458857783980e+00,4.067623461986516809e+00
4.962468519806861877e-03,-2.778967027552425861e-04,4.014261722564697266e+00,4.014261722564697266e+00,-2.720468165550330797e-04,3.976949165683343335e+00,3.976949174988147817e+00
5.254378542304039001e-03,-3.899506118614226580e-04,3.888639688491821289e+00,3.888639688491821289e+00,-3.969508609439669150e-04,3.840836357171083737e+00,3.840836377683541247e+00
5.546288564801216125e-03,-5.010816385038197041e-04,3.750394821166992188e+00,3.750394821166992188e+00,-5.095191024680292315e-04,3.660834857493095118e+00,3.660834892950814989e+00
5.838198587298393250e-03,-6.027147755958139896e-04,3.545740127563476562e+00,3.545740127563476562e+00,-6.093383546287017968e-04,3.438998168563802693e+00,3.438998222546563177e+00
6.130108609795570374e-03,-7.008414249867200851e-04,3.316566944122314453e+00,3.316566944122314453e+00,-7.027962360065872095e-04,3.177864866887303297e+00,3.177864944600259367e+00
6.422018166631460190e-03,-7.882726495154201984e-04,3.040892362594604492e+00,3.040892362594604492e+00,-8.000502980927972577e-04,2.880429783178833691e+00,2.880429894287334314e+00
6.713928189128637314e-03,-8.682498591952025890e-04,2.732806682586669922e+00,2.732806682586669922e+00,-8.819177184308248877e-04,2.550076476394969038e+00,2.550076628896050135e+00
7.005838211625814438e-03,-9.382126736454665661e-04,2.396591424942016602e+00,2.396591424942016602e+00,-9.490552978088253157e-04,2.190578466437267835e+00,2.190578672023584694e+00
7.297748234122991562e-03,-9.958471637219190598e-04,2.025746822357177734e+00,2.025747060775756836e+00,-1.006412138223129055e-03,1.806048760293331501e+00,1.806049040702514041e+00
7.589658256620168686e-03,-1.045690965838730335e-03,1.641597867012023926e+00,1.641598105430603027e+00,-1.058956256523529852e-03,1.400896140662178935e+00,1.400896540901768850e+00
7.881567813456058502e-03,-1.077960827387869358e-03,1.227438569068908691e+00,1.227439045906066895e+00,-1.095259664824362999e-03,9.797299798232843582e-01,9.797305920293938319e-01
8.173477835953235626e-03,-1.105737290345132351e-03,8.096914291381835938e-01,8.096922039985656738e-01,-1.117707295513693279e-03,5.473607191754927825e-01,5.473618603500897128e-01
8.465387858450412750e-03,-1.110950601287186146e-03,3.739315867424011230e-01,3.739332258701324463e-01,-1.128607074927602321e-03,1.087364249595847987e-01,1.087422818728804863e-01
8.757297880947589874e-03,-1.115480554290115833e-03,-6.179710477590560913e-02,6.180716678500175476e-02,-1.126710887119101653e-03,-3.311142841978850782e-01,3.311162011700741203e-01
9.049207903444766998e-03,-1.093363971449434757e-03,-4.963096976280212402e-01,4.963108897209167480e-01,-1.111019369067358037e-03,-7.671893145313863904e-01,7.671901190025697259e-01
9.341117925941944122e-03,-1.071247388608753681e-03,-9.308223128318786621e-01,9.308228492736816406e-01,-1.084691377685273288e-03,-1.194505681896618432e+00,1.194506174382824248e+00
9.633027948439121246e-03,-1.025998149998486042e-03,-1.344095110893249512e+00,1.344095468521118164e+00,-1.047031159025147784e-03,-1.608173025177023652e+00,1.608173366021607542e+00
9.924937039613723755e-03,-9.777114028111100197e-04,-1.754577636718750000e+00,1.754577875137329102e+00,-9.916313527493878389e-04,-2.003449061133100173e+00,2.003449306543052977e+00
1.021684706211090088e-02,-9.118645684793591499e-04,-2.131222724914550781e+00,2.131222963333129883e+00,-9.311481242510482757e-04,-2.375847590741040793e+00,2.375847773209983416e+00
1.050875708460807800e-02,-8.399392245337367058e-04,-2.496154308319091797e+00,2.496154308319091797e+00,-8.563424061689020681e-04,-2.721091542697642307e+00,2.721091677445460544e+00
1.080066710710525513e-02,-7.560579688288271427e-04,-2.822159051895141602e+00,2.822159051895141602e+00,-7.655398725390319967e-04,-3.035237532426919405e+00,3.035237628968175283e+00
1.109257712960243225e-02,-6.642652442678809166e-04,-3.122405052185058594e+00,3.122405052185058594e+00,-6.768902774433000835e-04,-3.314712406146266055e+00,3.314712475259418145e+00
1.138448715209960938e-02,-5.655366112478077412e-04,-3.385597229003906250e+00,3.385597229003906250e+00,-5.816037651376515689e-04,-3.556310451766952596e+00,3.556310499325081143e+00
1.167639717459678650e-02,-4.586891736835241318e-04,-3.605415821075439453e+00,3.605415821075439453e+00,-4.730323562481789806e-04,-3.757267503816474452e+00,3.757267533593380726e+00
1.196830719709396362e-02,-3.488204092718660831e-04,-3.795841932296752930e+00,3.795841932296752930e+00,-3.665318231999654605e-04,-3.915295087377325345e+00,3.915295104533832227e+00
1.226021721959114075e-02,-2.325207315152511001e-04,-3.923707008361816406e+00,3.923707008361816406e+00,-2.406870103602292571e-04,-4.028579849296582971e+00,4.028579856486491195e+00
1.255212631076574326e-02,-1.156223806901834905e-04,-4.033954620361328125e+00,4.033954620361328125e+00,-1.273717152792372995e-04,-4.095835363383677930e+00,4.095835365364171032e+00
1.284403633326292038e-02,4.032104698126204312e-06,-4.063162326812744141e+00,4.063162326812744141e+00,-4.881147031279540123e-06,-4.116288497515796507e+00,4.116288497518690193e+00
1.313594635576009750e-02,1.235771196661517024e-04,-4.088613033294677734e+00,4.088613033294677734e+00,1.254442623399957830e-04,-4.089707896966111811e+00,4.089707898889997750e+00
1.342785637825727463e-02,2.403124090051278472e-04,-4.017632007598876953e+00,4.017632007598876953e+00,2.388484416363068714e-04,-4.016394925389410453e+00,4.016394932491373027e+00
1.371976640075445175e-02,3.570477128960192204e-04,-3.946650981903076172e+00,3.946650981903076172e+00,3.497126349780770244e-04,-3.897187099127072951e+00,3.897187114817739051e+00
1.401167642325162888e-02,4.656796518247574568e-04,-3.789194107055664062e+00,3.789194107055664062e+00,4.642297191466717679e-04,-3.733449673162590354e+00,3.733449702024534744e+00
1.430358644574880600e-02,5.733753787353634834e-04,-3.621746063232421875e+00,3.621746063232421875e+00,5.731965009605735802e-04,-3.527052602811514781e+00,3.527052649387830030e+00
