x_m,Pre_sim,Pim_sim,p_abs_sim,Pre_analytic,Pim_analytic,p_abs_analytic
0.000000000000000000e+00,4.345330047607421875e+01,-4.634451953125000000e+04,4.634453515625000000e+04,4.311373688845615249e+01,-4.616521783606674580e+04,4.616523796804044832e+04
2.919099351856857538e-04,4.344024658203125000e+01,-4.599128906250000000e+04,4.599130468750000000e+04,4.309744746449239727e+01,-4.578462721334530215e+04,4.578464749733230565e+04
5.838198703713715076e-04,4.340127182006835938e+01,-4.558312890625000000e+04,4.558315234375000000e+04,4.307791576561921687e+01,-4.537666224186433828e+04,4.537668268967072800e+04
8.757297764532268047e-04,4.333641052246093750e+01,-4.514777734375000000e+04,4.514780078125000000e+04,4.299165581640006195e+01,-4.494154641416618688e+04,4.494156697734430054e+04
1.167639740742743015e-03,4.324550628662109375e+01,-4.468530078125000000e+04,4.468532031250000000e+04,4.290074023718605645e+01,-4.447956204943348712e+04,4.447958273840838228e+04
1.459549646824598312e-03,4.312880325317382812e+01,-4.419616015625000000e+04,4.419617968750000000e+04,4.278185329889233657e+01,-4.399097939480659261e+04,4.399100019778215938e+04
1.751459552906453609e-03,4.298636627197265625e+01,-4.368065234375000000e+04,4.368067187500000000e+04,4.265799549839799454e+01,-4.347609350126128265e+04,4.347611442890214676e+04
2.043369458988308907e-03,4.281811141967773438e+01,-4.313890625000000000e+04,4.313892578125000000e+04,4.249114444654806277e+01,-4.293520600558683509e+04,4.293522703141950478e+04
2.335279481485486031e-03,4.262429428100585938e+01,-4.257141015625000000e+04,4.257142968750000000e+04,4.229635646306157071e+01,-4.236864114482840523e+04,4.236866225692069565e+04
2.627189271152019501e-03,4.240505218505859375e+01,-4.197852343750000000e+04,4.197854296875000000e+04,4.205644566894785896e+01,-4.177672368823210854e+04,4.177674485724703118e+04
2.919099293649196625e-03,4.216035079956054688e+01,-4.136042578125000000e+04,4.136044531250000000e+04,4.183124005023340430e+01,-4.115984640080332611e+04,4.115986765759052651e+04
3.211009083315730095e-03,4.189047241210937500e+01,-4.071763281250000000e+04,4.071765234375000000e+04,4.156222744348597331e+01,-4.051834751810784655e+04,4.051836883460274112e+04
3.502919105812907219e-03,4.159560394287109375e+01,-4.005054687500000000e+04,4.005056640625000000e+04,4.126654166000844270e+01,-3.985261376912990090e+04,3.985263513444127602e+04
3.794829128310084343e-03,4.127577209472656250e+01,-3.935942968750000000e+04,3.935944921875000000e+04,4.095043422783658826e+01,-3.916305205227922852e+04,3.916307346196919389e+04
4.086738917976617813e-03,4.093127822875976562e+01,-3.864479296875000000e+04,3.864481250000000000e+04,4.062459755509431858e+01,-3.845007779292505438e+04,3.845009925396701874e+04
4.378648940473794937e-03,4.056236648559570312e+01,-3.790710156250000000e+04,3.790712500000000000e+04,4.023762869714642676e+01,-3.771408675428693095e+04,3.771410821929432859e+04
4.670558962970972061e-03,4.016912078857421875e+01,-3.714667187500000000e+04,3.714669531250000000e+04,3.984731333124195629e+01,-3.695555215915521694e+04,3.695557364182596211e+04
4.962468519806861877e-03,3.975187301635742188e+01,-3.636404296875000000e+04,3.636406640625000000e+04,3.943114795425107388e+01,-3.617492019798005640e+04,3.617494168821359926e+04
5.254378542304039001e-03,3.931090545654296875e+01,-3.555971484375000000e+04,3.555973437500000000e+04,3.901062368619722065e+01,-3.537267259558615478e+04,3.537269410694204271e+04
5.546288564801216125e-03,3.884636306762695312e+01,-3.473406640625000000e+04,3.473408593750000000e+04,3.854677395202346446e+01,-3.454925093293893588e+04,3.454927243634754268e+04
5.838198587298393250e-03,3.835860061645507812e+01,-3.388765234375000000e+04,3.388767187500000000e+04,3.804622267181972006e+01,-3.370515507810932468e+04,3.370517655130229832e+04
6.130108609795570374e-03,3.784794998168945312e+01,-3.302101953125000000e+04,3.302103906250000000e+04,3.753636283399065832e+01,-3.284091802763763553e+04,3.284093947920110077e+04
6.422018166631460190e-03,3.731461334228515625e+01,-3.213459570312500000e+04,3.213461523437500000e+04,3.702218070094463087e+01,-3.195706013130429710e+04,3.195708157635272073e+04
6.713928189128637314e-03,3.675896072387695312e+01,-3.122894921875000000e+04,3.122897070312500000e+04,3.646888081031747220e+01,-3.105407148108460024e+04,3.105409289500466912e+04
7.005838211625814438e-03,3.618137359619140625e+01,-3.030467187500000000e+04,3.030469335937500000e+04,3.589516058636255735e+01,-3.013251450443040812e+04,3.013253588436031714e+04
7.297748234122991562e-03,3.558211135864257812e+01,-2.936223437500000000e+04,2.936225585937500000e+04,3.530008829358333600e+01,-2.919293475227486124e+04,2.919295609469536066e+04
7.589658256620168686e-03,3.496155548095703125e+01,-2.840223046875000000e+04,2.840225000000000000e+04,3.469569197134121907e+01,-2.823592009806469287e+04,2.823594141471707917e+04
7.881567813456058502e-03,3.432014465332031250e+01,-2.742528320312500000e+04,2.742530273437500000e+04,3.404606190486457251e+01,-2.726197762025240081e+04,2.726199887941957422e+04
8.173477835953235626e-03,3.365817260742187500e+01,-2.643190625000000000e+04,2.643192773437500000e+04,3.338754981123017984e+01,-2.627175708458099689e+04,2.627177829991175531e+04
8.465387858450412750e-03,3.297606277465820312e+01,-2.542271093750000000e+04,2.542273242187500000e+04,3.271111923791660558e+01,-2.526581998165026380e+04,2.526584115683622804e+04
8.757297880947589874e-03,3.227427291870117188e+01,-2.439834765625000000e+04,2.439836718750000000e+04,3.202428183758296143e+01,-2.424479389039416492e+04,2.424481504038175626e+04
9.049207903444766998e-03,3.155315780639648438e+01,-2.335937304687500000e+04,2.335939257812500000e+04,3.130793770327868941e+01,-2.320925022998322311e+04,2.320927134627323176e+04
9.341117925941944122e-03,3.081315231323242188e+01,-2.230641406250000000e+04,2.230643554687500000e+04,3.056215205961258263e+01,-2.215980903176058564e+04,2.215983010695787380e+04
9.633027948439121246e-03,3.005476188659667969e+01,-2.124014453125000000e+04,2.124016406250000000e+04,2.980908054078604863e+01,-2.109713133667195507e+04,2.109715239595307139e+04
9.924937039613723755e-03,2.927838516235351562e+01,-2.016116796875000000e+04,2.016118945312500000e+04,2.904674129930870308e+01,-2.002186277819737370e+04,2.002188384798357220e+04
1.021684706211090088e-02,2.848447036743164062e+01,-1.907011132812500000e+04,1.907013085937500000e+04,2.825962275855466999e+01,-1.893459854132792680e+04,1.893461962986149229e+04
1.050875708460807800e-02,2.767355918884277344e+01,-1.796767773437500000e+04,1.796769921875000000e+04,2.745380600237325908e+01,-1.783601155431746884e+04,1.783603268322892109e+04
