theta_deg,SPL_sim_dB,SPL_analytic_dB,directivity_sim,directivity_analytic,p_far_abs_sim_pa,p_far_abs_analytic_pa,p_far_real,p_far_imag,r_far_m
0.000000000000000000e+00,1.304094474607894654e+02,1.304545226783565113e+02,1.000000000000000000e+00,1.000000000000000000e+00,9.375994988352955772e+01,9.424777960769380059e+01,-7.178663395801805791e+01,6.031258067053259708e+01,4.000000000000000000e+00
2.500000000000000000e-01,1.304025117548925436e+02,1.304475854558079106e+02,9.992018160680208316e-01,9.992016415964334319e-01,9.368511219806934776e+01,9.417253610082650539e+01,-7.172728145131063116e+01,6.026688429949994941e+01,4.000000000000000000e+00
5.000000000000000000e-01,1.303816941143882673e+02,1.304267632239332215e+02,9.968098772043180178e-01,9.968091762358659569e-01,9.346084413008411218e+01,9.394705155280470876e+01,-7.154942235947193296e+01,6.012993884525223365e+01,4.000000000000000000e+00
7.500000000000001110e-01,1.303469628871930013e+02,1.303920242053804373e+02,9.928320110750488148e-01,9.928304223215044244e-01,9.308787960116043791e+01,9.357206283077070452e+01,-7.125365110199689411e+01,5.990217469570732334e+01,4.000000000000000000e+00
1.000000000000000000e+00,1.302982650395539679e+02,1.303433151541747179e+02,9.872812267457410362e-01,9.872783734246851628e-01,9.256743834063026100e+01,9.304879454997214339e+01,-7.084095549806798431e+01,5.958430720472576780e+01,4.000000000000000000e+00
1.250000000000000000e+00,1.302355257304424470e+02,1.302805609248216570e+02,9.801756593136496942e-01,9.801711428316594032e-01,9.190122069430333340e+01,9.237895384741959504e+01,-7.031271246230413396e+01,5.917733376299061376e+01,4.000000000000000000e+00
1.500000000000000222e+00,1.301586477051665156e+02,1.302036638582544583e+02,9.715384927908538026e-01,9.715318863035176111e-01,9.109140039399029831e+01,9.156472310218096311e+01,-6.967068201030275532e+01,5.868252971675243401e+01,4.000000000000000000e+00
1.750000000000000000e+00,1.300675104972773681e+02,1.301125029734205327e+02,9.613978616333758165e-01,9.613887034409032140e-01,9.014061532487779971e+01,9.060875063922473771e+01,-6.891699960510644019e+01,5.810144315399877968e+01,4.000000000000000000e+00
2.000000000000000000e+00,1.299619694241432626e+02,1.300069329495025556e+02,9.497867314208028322e-01,9.497745181531632719e-01,8.905195633805581679e+01,8.951413946390290732e+01,-6.805416688439248674e+01,5.743588858289088961e+01,4.000000000000000000e+00
2.250000000000000000e+00,1.298418543573980628e+02,1.298867828794746515e+02,9.367427592976218520e-01,9.367269388366417093e-01,8.782895416550421430e+01,8.828443408406548087e+01,-6.708504081651540218e+01,5.668793953260872343e+01,4.000000000000000000e+00
2.500000000000000000e+00,1.297069682446825141e+02,1.297518547707540506e+02,9.223081348908070964e-01,9.222880989683848174e-01,8.647556450453369337e+01,8.692360548637121553e+01,-6.601282134164966919e+01,5.585992011176897165e+01,4.000000000000000000e+00
