z_m,z_over_rayleigh,p_sim_pa,p_analytic_pa,p_sim_over_p0,p_analytic_over_p0
9.999999974752427079e-07,1.091802914743311703e-06,2.458366546630859375e+02,2.161653594970703125e+02,5.972707867622375488e-01,5.251830816268920898e-01
4.521252994891256094e-04,4.936317563988268375e-04,2.612846374511718750e+02,2.487185821533203125e+02,6.348023414611816406e-01,6.042725443840026855e-01
9.032506495714187622e-04,9.861716534942388535e-04,2.768976135253906250e+02,2.807052307128906250e+02,6.727347373962402344e-01,6.819854974746704102e-01
1.354375970549881458e-03,1.478711608797311783e-03,2.991295776367187500e+02,3.120760803222656250e+02,7.267482280731201172e-01,7.582023143768310547e-01
1.805501291528344154e-03,1.971251564100384712e-03,3.295424499511718750e+02,3.427876586914062500e+02,8.006376028060913086e-01,8.328174352645874023e-01
2.256626496091485023e-03,2.463791519403457642e-03,3.604903564453125000e+02,3.727952880859375000e+02,8.758268952369689941e-01,9.057222604751586914e-01
2.707751933485269547e-03,2.956331474706530571e-03,3.888584594726562500e+02,4.020585327148437500e+02,9.447484016418457031e-01,9.768185615539550781e-01
3.158877138048410416e-03,3.448871430009603500e-03,4.177005920410156250e+02,4.305385742187500000e+02,1.014821648597717285e+00,1.046012043952941895e+00
3.610002575442194939e-03,3.941411618143320084e-03,4.456746215820312500e+02,4.581989440917968750e+02,1.082785725593566895e+00,1.113214135169982910e+00
4.061128012835979462e-03,4.433951340615749359e-03,4.719597167968750000e+02,4.850049438476562500e+02,1.146646499633789062e+00,1.178340435028076172e+00
4.512253217399120331e-03,4.926491528749465942e-03,4.990954589843750000e+02,5.109257202148437500e+02,1.212574005126953125e+00,1.241316080093383789e+00
4.963378421962261200e-03,5.419031251221895218e-03,5.232374877929687500e+02,5.359306640625000000e+02,1.271228075027465820e+00,1.302066683769226074e+00
5.414503626525402069e-03,5.911570973694324493e-03,5.476338500976562500e+02,5.599931030273437500e+02,1.330500125885009766e+00,1.360527396202087402e+00
5.865629296749830246e-03,6.404111161828041077e-03,5.715070190429687500e+02,5.830891723632812500e+02,1.388501048088073730e+00,1.416640281677246094e+00
6.316754501312971115e-03,6.896650884300470352e-03,5.928035888671875000e+02,6.051950683593750000e+02,1.440241932868957520e+00,1.470347523689270020e+00
