x,Velocity
0.0,0.0
0.05657,0.11638
0.13754,0.19893
0.22897,0.258472
0.28815,0.298933
0.37661,0.327242
0.45162,0.346012
0.53462,0.362155
0.61492,0.37501
0.70317,0.38195
0.7807,0.38527
0.85559,0.391876
0.93308,0.390264
1.02127,0.390629
1.10146,0.392306
1.17363,0.39398
1.26448,0.392374
1.34996,0.38945
1.43282,0.3908
1.5103,0.388531
1.58778,0.38659
1.67329,0.385968
1.74277,0.385339
1.84162,0.383079
1.90577,0.383763
1.97523,0.381819
2.05806,0.38021
2.15158,0.378605
2.21837,0.37666
2.30924,0.377355
2.37871,0.376069
2.45085,0.375113
2.54171,0.37515
2.62187,0.373211
2.72075,0.373252
2.78755,0.372293
2.8597,0.371994
2.96391,0.370723
3.0334,0.371409
3.10019,0.369464
3.19372,0.369174
3.27925,0.370196
3.35942,0.370229
3.44226,0.369606
3.50639,0.369632
3.58924,0.369338
3.65604,0.368379
3.76562,0.36974
3.84846,0.369774
3.93665,0.369811
4.00612,0.368524
4.07025,0.367893
4.15842,0.365957
4.23058,0.365987
4.32145,0.36734
4.38825,0.366381
4.47376,0.365759
4.56462,0.365797
4.64481,0.367145
4.70626,0.366184
4.78913,0.367862
4.87464,0.367898
4.95748,0.367275
5.04568,0.368297
5.10982,0.368653
5.19532,0.367044
5.2648,0.367073
5.36905,0.369089
5.43853,0.369446
5.52138,0.370138
5.60691,0.371489
5.68708,0.371522
5.7726,0.371557
5.82873,0.372896
5.91692,0.372932
6.01047,0.374286
6.07996,0.374972
6.16817,0.377639
6.23767,0.378982
6.33119,0.377377
6.4087,0.378725
6.46484,0.380392
6.5557,0.381087
6.64391,0.382438
6.71875,0.384113
6.79624,0.383488
6.8871,0.383196
6.96461,0.383886
7.03942,0.382931
7.11426,0.383619
7.20246,0.384971
7.29867,0.385011
7.3628,0.384708
7.44298,0.38507
7.52315,0.385761
7.61936,0.385801
7.69152,0.38616
7.75298,0.386185
7.84651,0.384909
7.91866,0.38461
7.99348,0.384312
