time	force_x	force_y	force_z
1	0	-4.07668885144e-07	0
2	0	-1.5946544523e-06	0
3	0	-3.51248074681e-06	0
4	0	-6.11921203041e-06	0
5	0	-9.37851915413e-06	0
6	0	-1.32589034847e-05	0
7	0	-1.77330417796e-05	0
8	0	-2.27772342752e-05	0
9	0	-2.83709358058e-05	0
10	0	-3.44963554038e-05	0
11	0	-4.11381121751e-05	0
12	0	-4.82829366183e-05	0
13	0	-5.59194131836e-05	0
14	0	-6.40377524853e-05	0
15	0	-7.26295941073e-05	0
16	0	-8.16878309978e-05	0
17	0	-9.12064529045e-05	0
18	0	-0.000101180409849	0
19	0	-0.000111605488378	0
20	0	-0.000122478204569	0
21	0	-0.000133795689882	0
22	0	-0.00014555562749	0
23	0	-0.000157756156054	0
24	0	-0.000170395801706	0
25	0	-0.000183473413921	0
26	0	-0.000196988108969	0
27	0	-0.000210939216149	0
28	0	-0.000225326233018	0
29	0	-0.000240148781126	0
30	0	-0.000255406572129	0
31	0	-0.000271099372645	0
32	0	-0.000287226973413	0
33	0	-0.000303789163714	0
34	0	-0.000320785710182	0
35	0	-0.000338216335523	0
36	0	-0.00035608069742	0
37	0	-0.000374378370545	0
38	0	-0.000393108845252	0
39	0	-0.000412271502339	0
40	0	-0.000431865612891	0
41	0	-0.000451890322754	0
42	0	-0.000472344650574	0
43	0	-0.000493227476944	0
44	0	-0.000514537546044	0
45	0	-0.000536273458352	0
46	0	-0.000558433668888	0
47	0	-0.000581016485673	0
48	0	-0.000604020070774	0
49	0	-0.000627442433699	0
50	0	-0.000651281444243	0
51	0	-0.000675534818322	0
52	0	-0.000700200133016	0
53	0	-0.000725274817092	0
54	0	-0.000750756166053	0
55	0	-0.00077664132985	0
56	0	-0.000802927332667	0
57	0	-0.000829611054992	0
58	0	-0.000856689259848	0
59	0	-0.0008841585808	0
60	0	-0.000912015535317	0
61	0	-0.000940256510778	0
62	0	-0.000968877794573	0
63	0	-0.000997875555484	0
64	0	-0.00102724587057	0
65	0	-0.00105698470325	0
66	0	-0.00108708792765	0
67	0	-0.00111755132146	0
68	0	-0.00114837057942	0
69	0	-0.00117954130083	0
70	0	-0.00121105902163	0
71	0	-0.00124291918727	0
72	0	-0.0012751171775	0
73	0	-0.00130764830442	0
74	0	-0.00134050781664	0
75	0	-0.00137369090078	0
76	0	-0.0014071926932	0
77	0	-0.00144100826588	0
78	0	-0.00147513266172	0
79	0	-0.00150956085056	0
80	0	-0.00154428780011	0
81	0	-0.00157930841614	0
82	0	-0.00161461756029	0
83	0	-0.00165021007826	0
84	0	-0.00168608078172	0
85	0	-0.00172222447134	0
86	0	-0.00175863591351	0
1	0	-4.20474390066e-07	0
1	0	-4.4681751259e-07	0
1	0	-4.11073531417e-07	0
2	0	-1.60657993291e-06	0
3	0	-3.53580751788e-06	0
