position_mm	position_m	n_cells	n_surface_faces	max_nonorthogonality_deg	avg_nonorthogonality_deg	max_skewness	numerical_force_y_N
0.6	0.0006	22110	131	35.57811515	1.63449635352	0.426635933566	9.81170599925e-16
1.4	0.0014	22110	131	35.5789355773	1.63161399248	0.427037535875	1.80603691193e-15
2.2	0.0022	22100	130	41.4751582328	1.60507087215	0.41974643339	1.67089196786e-15
3.0	0.003	22110	131	35.5782507719	1.63170478006	0.426635937999	6.41989113075e-16
3.396039604	0.003396039604	22109	131	38.2128228823	1.571317888	0.427894246823	6.32714525365e-17
4.0	0.004	22093	130	41.468880899	1.58904134029	0.419746307191	-9.8274310342e-16
4.8	0.0048	22110	131	35.5787040416	1.63170643649	0.42663593779	-1.81519451664e-15
5.6	0.0056	22110	131	35.5788506966	1.63161286463	0.427038231092	-1.65783677368e-15
6.4	0.0064	22100	130	41.4751688263	1.60507315903	0.419746447839	-6.62719810576e-16
6.792079208	0.006792079208	22087	131	41.1585899353	1.63140130431	0.430931442688	4.28601940523e-19
7.1	0.0071	22110	131	35.5900375987	1.6355763031	0.427037406748	5.25760299678e-16
