time	force_x	force_y	force_z
1	0	-4.14143728282e-07	0
2	0	-1.58346667188e-06	0
3	0	-3.41365239917e-06	0
4	0	-5.8282480989e-06	0
5	0	-8.76582059978e-06	0
6	0	-1.21775366494e-05	0
7	0	-1.60251040394e-05	0
8	0	-2.02790222188e-05	0
9	0	-2.49170968669e-05	0
10	0	-2.99231792076e-05	0
11	0	-3.52860969621e-05	0
12	0	-4.09987521764e-05	0
13	0	-4.70573546714e-05	0
14	0	-5.34607776619e-05	0
15	0	-6.02100151696e-05	0
16	0	-6.73077232563e-05	0
17	0	-7.47578378335e-05	0
18	0	-8.25652545636e-05	0
19	0	-9.07355589246e-05	0
20	0	-9.92748072263e-05	0
21	0	-0.000108189339291	0
22	0	-0.00011748562989	0
23	0	-0.000127170163388	0
24	0	-0.000137249333705	0
25	0	-0.000147729362152	0
26	0	-0.000158616233894	0
27	0	-0.00016991564951	0
28	0	-0.00018163297926	0
29	0	-0.000193773241786	0
30	0	-0.000206341076163	0
31	0	-0.000219340733255	0
32	0	-0.000232776063343	0
33	0	-0.000246650513847	0
34	0	-0.000260967125728	0
35	0	-0.000275728540146	0
36	0	-0.000290937001451	0
37	0	-0.000306594365123	0
38	0	-0.000322702102867	0
39	0	-0.000339261318141	0
40	0	-0.000356272752907	0
41	0	-0.000373736800417	0
42	0	-0.000391653516286	0
43	0	-0.000410022630898	0
44	0	-0.000428843565085	0
45	0	-0.000448115433409	0
46	0	-0.000467837068202	0
47	0	-0.00048800702539	0
48	0	-0.000508623592982	0
49	0	-0.00052968480803	0
50	0	-0.00055118847163	0
51	0	-0.000573132148189	0
52	0	-0.000595513189299	0
53	0	-0.000618328740956	0
54	0	-0.000641575753304	0
55	0	-0.000665250978163	0
56	0	-0.000689350993085	0
57	0	-0.000713872222327	0
58	0	-0.000738810910204	0
59	0	-0.000764163167769	0
60	0	-0.000789924955747	0
61	0	-0.000816092104409	0
62	0	-0.000842660316716	0
63	0	-0.000869625177888	0
64	0	-0.000896982166411	0
65	0	-0.000924726644995	0
66	0	-0.000952853892787	0
67	0	-0.000981359089107	0
68	0	-0.00101023733934	0
69	0	-0.00103948365793	0
70	0	-0.00106909299199	0
71	0	-0.00109906022749	0
72	0	-0.00112938018146	0
73	0	-0.00116004762377	0
74	0	-0.00119105726611	0
75	0	-0.00122240376764	0
76	0	-0.00125408176348	0
77	0	-0.00128608583412	0
78	0	-0.00131841053813	0
79	0	-0.00135105039911	0
80	0	-0.00138399992001	0
81	0	-0.00141725358012	0
82	0	-0.00145080583365	0
83	0	-0.0014846511375	0
84	0	-0.00151878392754	0
85	0	-0.00155319863048	0
86	0	-0.00158788967695	0
87	0	-0.00162285149026	0
88	0	-0.00165807850133	0
89	0	-0.00169356514146	0
90	0	-0.00172930584092	0
91	0	-0.00176529506379	0
92	0	-0.00180152725745	0
93	0	-0.00183799690211	0
94	0	-0.00187469849141	0
95	0	-0.00191162653445	0
96	0	-0.00194877556159	0
97	0	-0.00198614013176	0
98	0	-0.00202371481509	0
99	0	-0.00206149423265	0
100	0	-0.00209947300494	0
101	0	-0.00213764580585	0
102	0	-0.00217600732119	0
103	0	-0.00221455228571	0
104	0	-0.00225327546595	0
105	0	-0.0022921716576	0
106	0	-0.00233123569297	0
107	0	-0.00237046244004	0
108	0	-0.00240984682151	0
109	0	-0.00244938378384	0
110	0	-0.00248906832663	0
111	0	-0.00252889547804	0
112	0	-0.00256886032286	0
113	0	-0.00260895798387	0
114	0	-0.00264918361665	0
115	0	-0.0026895324473	0
116	0	-0.00272999973004	0
117	0	-0.00277058076256	0
118	0	-0.00281127091504	0
119	0	-0.00285206556576	0
1	0	-4.37306624348e-07	0
2	0	-1.65757091086e-06	0
3	0	-3.54413931721e-06	0
