time	WettedArea_bottom	maxU
0	4.4382453691923e-06	0.00022353048153216
1e-07	4.4382453691923e-06	0.00022353048153216
2e-07	4.4383127342315e-06	0.00012347142969218
3e-07	4.4383148469537e-06	0.00011007647631762
4e-07	4.4383149134551e-06	0.00010664163669684
5e-07	4.4383149157286e-06	0.00010320030895
6e-07	4.438314915959e-06	9.9726947070933e-05
7e-07	4.4383149160999e-06	9.6262630129742e-05
8e-07	4.4383149162187e-06	9.2849845049424e-05
9e-07	4.438314916322e-06	8.950826088289e-05
1e-06	4.4383149164131e-06	8.6253966720055e-05
1.1e-06	4.4383149164943e-06	8.3098146216984e-05
1.2e-06	4.4383149165674e-06	8.0047600467058e-05
1.3e-06	4.4383149166335e-06	7.7105952945071e-05
1.4e-06	4.4383149166937e-06	7.4274450724684e-05
1.5e-06	4.4383149167489e-06	7.1552733234924e-05
1.6e-06	4.4383149167996e-06	6.8939297483142e-05
1.7e-06	4.4383149168465e-06	6.6431508292676e-05
1.8e-06	4.4383149168899e-06	6.4026258921059e-05
1.9e-06	4.4383149169303e-06	6.1720116106738e-05
2e-06	4.438314916968e-06	5.9509472041953e-05
2.1e-06	4.4383149170033e-06	5.739060115925e-05
2.2e-06	4.4383149170363e-06	5.5359775266429e-05
2.3e-06	4.4383149170673e-06	5.3413265155061e-05
2.4e-06	4.4383149170965e-06	5.1547384608043e-05
2.5e-06	4.438314917124e-06	4.975862087446e-05
2.6e-06	4.43831491715e-06	4.8043576042377e-05
2.7e-06	4.4383149171747e-06	4.6398968601473e-05
2.8e-06	4.438314917198e-06	4.4821645139244e-05
2.9e-06	4.4383149172202e-06	4.3308584214508e-05
3e-06	4.4383149172413e-06	4.1856899187998e-05
3.1e-06	4.4383149172614e-06	4.0463818549388e-05
3.2e-06	4.4383149172805e-06	3.912671022402e-05
3.3e-06	4.4383149172988e-06	3.7843072658002e-05
3.4e-06	4.4383149173164e-06	3.6610522881151e-05
3.5e-06	4.4383149173332e-06	3.5426769694984e-05
3.6e-06	4.4383149173493e-06	3.4289648449136e-05
3.7e-06	4.4383149173648e-06	3.3197101070322e-05
3.8e-06	4.4383149173796e-06	3.214716387481e-05
3.9e-06	4.438314917394e-06	3.1137962212862e-05
4e-06	4.4383149174078e-06	3.0167708857006e-05
4.1e-06	4.4383149174211e-06	2.923470003795e-05
4.2e-06	4.438314917434e-06	2.8337312299232e-05
4.3e-06	4.4383149174465e-06	2.7474038422687e-05
4.4e-06	4.4383149174585e-06	2.6643329816567e-05
4.5e-06	4.4383149174702e-06	2.5843824410282e-05
4.6e-06	4.4383149174815e-06	2.5074182610893e-05
4.7e-06	4.4383149174925e-06	2.4333121161852e-05
4.8e-06	4.4383149175032e-06	2.3799927315194e-05
4.9e-06	4.4383149175136e-06	2.3333521422971e-05
5e-06	4.4383149175236e-06	2.2878935657066e-05
5.1e-06	4.4383149175335e-06	2.2435826401e-05
5.2e-06	4.438314917543e-06	2.2003860030037e-05
5.3e-06	4.4383149175524e-06	2.1582712448007e-05
5.4e-06	4.4383149175615e-06	2.1172068375551e-05
5.5e-06	4.4383149175704e-06	2.0771622690536e-05
5.6e-06	4.438314917579e-06	2.0381078765575e-05
5.7e-06	4.4383149175875e-06	2.000014880524e-05
5.8e-06	4.4383149175958e-06	1.9628553685104e-05
5.9e-06	4.4383149176039e-06	1.9266022779901e-05
6e-06	4.4383149176118e-06	1.8912293746905e-05
6.1e-06	4.4383149176196e-06	1.8567112352076e-05
6.2e-06	4.4383149176272e-06	1.8230232249575e-05
6.3e-06	4.4383149176347e-06	1.7901414706048e-05
6.4e-06	4.438314917642e-06	1.7580428382298e-05
6.5e-06	4.4383149176492e-06	1.7267049262797e-05
6.6e-06	4.4383149176562e-06	1.6961060400384e-05
6.7e-06	4.4383149176631e-06	1.666225176413e-05
6.8e-06	4.4383149176699e-06	1.6370420050376e-05
6.9e-06	4.4383149176766e-06	1.6154779601445e-05
7e-06	4.4383149176832e-06	1.5949608993687e-05
7.1e-06	4.4383149176896e-06	1.5747781992616e-05
7.2e-06	4.438314917696e-06	1.5549229099751e-05
7.3e-06	4.4383149177022e-06	1.5353883113089e-05
7.4e-06	4.4383149177083e-06	1.5161678930151e-05
7.5e-06	4.4383149177144e-06	1.4972553383622e-05
7.6e-06	4.4383149177203e-06	1.4786445227129e-05
7.7e-06	4.4383149177262e-06	1.4603295005555e-05
7.8e-06	4.438314917732e-06	1.4423044959979e-05
7.9e-06	4.4383149177376e-06	1.4245638952676e-05
8e-06	4.4383149177432e-06	1.4071022582502e-05
8.1e-06	4.4383149177488e-06	1.3899143110474e-05
8.2e-06	4.4383149177542e-06	1.3729949138582e-05
8.3e-06	4.4383149177596e-06	1.3563390574392e-05
8.4e-06	4.4383149177649e-06	1.3399418585883e-05
8.5e-06	4.4383149177701e-06	1.3237985504704e-05
8.6e-06	4.4383149177753e-06	1.307904478008e-05
8.7e-06	4.4383149177804e-06	1.292255094862e-05
8.8e-06	4.4383149177854e-06	1.2768459551654e-05
8.9e-06	4.4383149177904e-06	1.2616727144997e-05
9e-06	4.4383149177953e-06	1.2467311316457e-05
9.1e-06	4.4383149178001e-06	1.2320170596762e-05
9.2e-06	4.4383149178049e-06	1.2175264404364e-05
9.3e-06	4.4383149178096e-06	1.2032553229217e-05
9.4e-06	4.4383149178143e-06	1.1891997279614e-05
9.5e-06	4.4383149178189e-06	1.1753559046484e-05
9.6e-06	4.4383149178234e-06	1.1617201246936e-05
9.7e-06	4.4383149178279e-06	1.1482887553684e-05
9.8e-06	4.4383149178324e-06	1.1350581619307e-05
