time	WettedArea_bottom	maxU
0	4.4382453708327e-06	1.2705266443154e-10
1e-07	4.4382453708327e-06	1.2705266443154e-10
2e-07	4.4383127357086e-06	3.5003148716633e-08
3e-07	4.4383148481353e-06	2.4434553888569e-08
4e-07	4.4383149144102e-06	1.9651909227137e-08
5e-07	4.4383149165092e-06	1.7231597985504e-08
6e-07	4.4383149165966e-06	1.6439189258174e-08
7e-07	4.4383149166174e-06	1.5685583347242e-08
8e-07	4.4383149166333e-06	1.4973766242031e-08
9e-07	4.4383149166471e-06	1.431502589588e-08
1e-06	4.4383149166594e-06	1.367103777474e-08
1.1e-06	4.4383149166704e-06	1.307530462581e-08
1.2e-06	4.4383149166805e-06	1.2509626120118e-08
1.3e-06	4.4383149166897e-06	1.1973570307781e-08
1.4e-06	4.4383149166982e-06	1.1477346989053e-08
1.5e-06	4.4383149167062e-06	1.0993518406993e-08
1.6e-06	4.4383149167136e-06	1.0544002174585e-08
1.7e-06	4.4383149167206e-06	1.0117670270955e-08
1.8e-06	4.4383149167272e-06	9.7119426124044e-09
1.9e-06	4.4383149167335e-06	9.3346108403884e-09
2e-06	4.4383149167395e-06	8.976674736623e-09
2.1e-06	4.4383149167452e-06	8.6248145752297e-09
2.2e-06	4.4383149167506e-06	8.2911607085674e-09
2.3e-06	4.4383149167558e-06	7.974592405861e-09
2.4e-06	4.4383149167608e-06	7.6922005527452e-09
2.5e-06	4.4383149167657e-06	7.4231156299398e-09
2.6e-06	4.4383149167703e-06	7.1300647901765e-09
2.7e-06	4.4383149167748e-06	6.8823317364554e-09
2.8e-06	4.4383149167791e-06	6.6460220095656e-09
2.9e-06	4.4383149167833e-06	6.3966579201077e-09
3e-06	4.4383149167874e-06	6.1715423173336e-09
3.1e-06	4.4383149167913e-06	5.9572630644014e-09
3.2e-06	4.4383149167951e-06	5.7538488411317e-09
3.3e-06	4.4383149167988e-06	5.5568200312336e-09
3.4e-06	4.4383149168024e-06	5.3689643490046e-09
3.5e-06	4.438314916806e-06	5.1897855744043e-09
3.6e-06	4.4383149168094e-06	5.0219553692841e-09
3.7e-06	4.4383149168127e-06	4.8615236847241e-09
3.8e-06	4.438314916816e-06	4.6930158316773e-09
3.9e-06	4.4383149168192e-06	4.5473740800176e-09
4e-06	4.4383149168223e-06	4.4079259453869e-09
4.1e-06	4.4383149168253e-06	4.2743963133086e-09
4.2e-06	4.4383149168283e-06	4.1242667508162e-09
4.3e-06	4.4383149168312e-06	3.9815878430667e-09
4.4e-06	4.4383149168341e-06	3.8763651779187e-09
4.5e-06	4.4383149168368e-06	3.7489085178654e-09
4.6e-06	4.4383149168396e-06	3.6418139888523e-09
4.7e-06	4.4383149168423e-06	3.5390045413297e-09
4.8e-06	4.4383149168449e-06	3.4559073762168e-09
