x,Velocity
0,-0.00026
0.07619,0.117881
0.08466,0.12829
0.16085,0.23368
0.23492,0.319294
0.31323,0.389814
0.39577,0.441859
0.47407,0.485316
0.55026,0.51342
0.63492,0.533978
0.70899,0.544907
0.80212,0.551152
0.89312,0.54803
0.9545,0.545948
1.0328,0.544387
1.10053,0.542565
1.18942,0.538401
1.27619,0.53684
1.35661,0.532156
1.4328,0.532677
1.51111,0.529814
1.58519,0.526952
1.67407,0.52487
1.76296,0.523829
1.83915,0.521227
1.91746,0.517063
2,0.514721
2.07831,0.5129
2.15873,0.512639
2.23915,0.512639
2.31958,0.510818
2.39788,0.512119
2.48889,0.511599
2.55661,0.512639
2.63704,0.51316
2.71111,0.514461
2.80212,0.516543
2.88254,0.515502
2.95026,0.515762
3.03069,0.516803
3.10899,0.516283
3.19788,0.515762
3.28466,0.516543
3.35238,0.518104
3.43704,0.516022
3.51958,0.515762
3.59577,0.5129
3.66349,0.511859
3.76085,0.512119
3.83704,0.511338
3.91958,0.511078
4.00212,0.511078
4.06984,0.511599
4.16296,0.514201
4.23069,0.51316
4.32381,0.514721
4.39365,0.514721
4.47831,0.516803
4.56296,0.517844
4.63069,0.518625
4.71534,0.519665
4.79365,0.520967
4.86984,0.519926
4.94603,0.521487
5.03069,0.522528
5.11534,0.523829
5.19153,0.52461
5.27196,0.52539
5.34603,0.526431
5.43915,0.527732
5.52169,0.527993
5.6,0.528513
5.67619,0.529033
5.75873,0.529033
5.84339,0.528253
5.92593,0.528253
6,0.527212
6.06984,0.526431
6.16085,0.524349
6.24339,0.526691
6.32804,0.522528
6.39577,0.523309
6.48677,0.522007
6.55238,0.523048
6.64339,0.523309
6.72381,0.523309
6.79153,0.524349
6.87831,0.524349
6.96931,0.522528
7.04762,0.521747
7.11111,0.521747
7.2,0.519926
7.29101,0.520706
7.36085,0.520186
7.44127,0.519926
7.51958,0.519145
7.60423,0.518104
7.67196,0.519405
7.7545,0.519145
7.8455,0.518625
7.92169,0.518104
8,0.517844
8.07831,0.518104
8.15873,0.518885
