# Field minima and maxima
# Time                	min(U)                	max(U)                
5e-07                 	2.49366256552729e-01	5.16516186884488e+00
1e-06                 	2.40018260296637e-01	5.20103212967323e+00
1.5e-06               	2.44474148859800e-01	5.22254776479027e+00
2e-06                 	2.47878446039661e-01	5.23576361377921e+00
2.5e-06               	2.51268434754725e-01	5.24356269871709e+00
3e-06                 	2.38109852231839e-01	5.24784487369163e+00
3.5e-06               	2.28432837869358e-01	5.24992899822836e+00
4e-06                 	2.21224733208707e-01	5.25072111030875e+00
4.5e-06               	2.15588911181620e-01	5.25083597392956e+00
5e-06                 	2.10993131925114e-01	5.25070020095333e+00
5.5e-06               	2.07184063559064e-01	5.25060925680143e+00
6e-06                 	2.04020516719473e-01	5.25075978483784e+00
6.5e-06               	2.01375892565474e-01	5.25124726620187e+00
7e-06                 	1.99153992471973e-01	5.25217882055184e+00
7.5e-06               	1.97279712056527e-01	5.25359800089028e+00
8e-06                 	1.95699901999631e-01	5.25552663056663e+00
8.5e-06               	1.94364097559956e-01	5.25796862165299e+00
9e-06                 	1.93234097209534e-01	5.26091657160638e+00
9.5e-06               	1.92279927496926e-01	5.26435621161669e+00
1e-05                 	1.91477173634864e-01	5.26826826266102e+00
1.05e-05              	1.90806145831570e-01	5.27263459807067e+00
1.1e-05               	1.90252210384381e-01	5.27743775736175e+00
1.15e-05              	1.89798857895323e-01	5.28265573285571e+00
1.2e-05               	1.89432914586265e-01	5.28825722792904e+00
1.25e-05              	1.89143002229708e-01	5.29421720467709e+00
1.3e-05               	1.88917938360755e-01	5.30051105843670e+00
1.35e-05              	1.88747419195916e-01	5.30711583044544e+00
1.4e-05               	1.88622024186555e-01	5.31400981279421e+00
1.45e-05              	1.88556614605519e-01	5.32117231073889e+00
1.5e-05               	1.88542897604990e-01	5.32858306005170e+00
1.55e-05              	1.88569177888225e-01	5.33622187366231e+00
1.6e-05               	1.88631895403388e-01	5.34407031773187e+00
1.65e-05              	1.88744476533180e-01	5.35211125034465e+00
1.7e-05               	1.88874774404452e-01	5.36032768706215e+00
1.75e-05              	1.89031069987879e-01	5.36870441821659e+00
1.8e-05               	1.89208611246927e-01	5.37722631611610e+00
1.85e-05              	1.89405682283942e-01	5.38587923572732e+00
1.9e-05               	1.89620504596477e-01	5.39464951473327e+00
1.95e-05              	1.89851637619743e-01	5.40352382837036e+00
2e-05                 	1.90098999458900e-01	5.41253899087412e+00
2.05e-05              	1.90362132650109e-01	5.42166357755723e+00
2.1e-05               	1.90637556799553e-01	5.43085239842641e+00
2.15e-05              	1.90923796746280e-01	5.44009779874726e+00
2.2e-05               	1.91220478596463e-01	5.44938790554728e+00
2.25e-05              	1.91526773633799e-01	5.45871218253569e+00
2.3e-05               	1.91841997508326e-01	5.46806194988962e+00
2.35e-05              	1.92165555380427e-01	5.47742900991225e+00
2.4e-05               	1.92496868821594e-01	5.48680541254332e+00
2.45e-05              	1.92835836810785e-01	5.49618284512252e+00
2.5e-05               	1.93181586322521e-01	5.50555749929981e+00
2.55e-05              	1.93532888558375e-01	5.51492798634226e+00
2.6e-05               	1.93890477798536e-01	5.52428204540535e+00
2.65e-05              	1.94254142717300e-01	5.53361346835584e+00
2.7e-05               	1.94623615364289e-01	5.54291673488087e+00
2.75e-05              	1.94998690405184e-01	5.55218667729094e+00
2.8e-05               	1.95379084042953e-01	5.56141839967063e+00
2.85e-05              	1.95764553711723e-01	5.57060716146214e+00
2.9e-05               	1.96155015203840e-01	5.57974823311869e+00
2.95e-05              	1.96549957853386e-01	5.58883882291585e+00
3e-05                 	1.96949548860778e-01	5.59787432161575e+00
3.05e-05              	1.97353396388809e-01	5.60685083463300e+00
3.1e-05               	1.97760086130625e-01	5.61576502795276e+00
3.15e-05              	1.98170343068198e-01	5.62924904441272e+00
3.2e-05               	1.98584464141749e-01	5.64303764765524e+00
3.25e-05              	1.99002712751335e-01	5.65660879349673e+00
3.3e-05               	1.99422553102420e-01	5.66996127705723e+00
3.35e-05              	1.99842693894358e-01	5.68309262276325e+00
3.4e-05               	2.00265408819628e-01	5.69600057126245e+00
3.45e-05              	2.00689662909247e-01	5.70868311003760e+00
3.5e-05               	2.01113651243766e-01	5.72113846304805e+00
3.55e-05              	2.01532674048906e-01	5.73336508127175e+00
3.6e-05               	2.01948288439209e-01	5.74536159992716e+00
3.65e-05              	2.02406448166136e-01	5.75712689200142e+00
3.7e-05               	2.02875735749372e-01	5.76865993985445e+00
3.75e-05              	2.03346903296527e-01	5.77995990920739e+00
3.8e-05               	2.03819935602631e-01	5.79102608491078e+00
3.85e-05              	2.04294878222148e-01	5.80185788199036e+00
3.9e-05               	2.04771755189821e-01	5.81245486124830e+00
3.95e-05              	2.05250569830031e-01	5.82281668533577e+00
4e-05                 	2.05731311008067e-01	5.83294709542131e+00
4.05e-05              	2.06213948976458e-01	5.84285292238023e+00
4.1e-05               	2.06698447354428e-01	5.85254103409299e+00
4.15e-05              	2.07184769815196e-01	5.86201832419520e+00
4.2e-05               	2.07672828270022e-01	5.87129165582471e+00
4.25e-05              	2.08162600326756e-01	5.88036785997394e+00
4.3e-05               	2.08654040289526e-01	5.88925369703711e+00
4.35e-05              	2.09147101858813e-01	5.89795583673104e+00
4.4e-05               	2.09641742136204e-01	5.90648083863312e+00
4.45e-05              	2.10137925682602e-01	5.91483513205760e+00
4.5e-05               	2.10635610757939e-01	5.92302500734839e+00
4.55e-05              	2.11134762269612e-01	5.93105659800570e+00
4.6e-05               	2.11638018911274e-01	5.93878788620488e+00
4.65e-05              	2.12142697033598e-01	5.94638717230667e+00
4.7e-05               	2.12648695149357e-01	5.95385542143793e+00
