# Field minima and maxima
# Time                	min(U)                	max(U)                
5e-07                 	1.38192990851800e+00	1.13335383229585e+01
1e-06                 	1.30235798145470e+00	1.12072579753966e+01
1.5e-06               	1.08085131404232e+00	1.11529032515898e+01
2e-06                 	1.02636462638470e+00	1.11187051181461e+01
2.5e-06               	5.25737114818945e-01	1.14415368310003e+01
3e-06                 	5.20027210349991e-01	1.14063104056172e+01
3.5e-06               	5.10225392917336e-01	1.13685535182319e+01
4e-06                 	5.00866327782318e-01	1.13367343669050e+01
4.5e-06               	4.83408557864423e-01	1.13060736693958e+01
5e-06                 	1.16467763910537e-01	1.12561439767901e+01
5.5e-06               	1.00302885421486e-01	1.12454669444968e+01
6e-06                 	1.35836245984021e-01	1.12202753974706e+01
6.5e-06               	1.60396935705115e-01	1.11948046482058e+01
7e-06                 	1.78789053338478e-01	1.11695421932715e+01
