scheme,frame,N,E_shape,order,E_mass,E_bound
plicRDF,none,32,0.03993200029859082,,8.326672684688674e-17,0.0
plicRDF,none,64,0.008313812120141383,2.2639632914892287,1.6653345369377348e-16,0.0
plicRDF,none,128,0.002150984852810146,1.9505127801875741,1.3877787807814457e-17,3.734104316697855e-07
plicRDF,none,256,0.0005504028271948908,1.9664375796609388,1.6237011735142914e-15,9.351289071550314e-07
plicRDF,none,512,0.00012003270419911427,2.1970603434476677,9.700573677662305e-15,2.12608435884062e-06
plicRDF,frameA,32,0.04144466246100742,,2.7852559147945044e-10,2.168404344971009e-19
plicRDF,frameA,64,0.010352305039655781,2.0012342798041485,2.0482601725824168e-11,0.0
plicRDF,frameA,128,0.0022145514926818137,2.224865585105597,4.3021142204224816e-16,4.336808689942018e-19
plicRDF,frameA,256,0.0004050012746847572,2.451016189315538,3.802513859341161e-15,1.0486532374262326e-07
plicRDF,frameA,512,0.0003243514170030099,0.32036870711310117,7.868705687030797e-15,8.033772997480519e-08
isoAlpha,none,32,0.05986310558813694,,4.163336342344337e-17,0.0
isoAlpha,none,64,0.00939551167908938,2.6716234871542706,9.71445146547012e-17,5.421010862427522e-20
isoAlpha,none,128,0.0016262126460236592,2.5304558141513285,2.636779683484747e-16,2.30521817190521e-08
isoAlpha,none,256,0.0004571585234594502,1.8307494952678722,1.6375789613221059e-15,1.0817537284638526e-08
isoAlpha,none,512,0.00010496545693217184,2.122779888668614,1.1005085731596864e-14,3.0467012831001954e-07
isoAlpha,frameA,32,0.06675255160686133,,6.938893903907228e-17,4.336808689942018e-19
isoAlpha,frameA,64,0.011255720878591323,2.5681645267512025,4.163336342344337e-17,4.1359030627651384e-25
isoAlpha,frameA,128,0.00213762431918779,2.396578226625892,1.3877787807814457e-17,1.8097866778257325e-09
isoAlpha,frameA,256,0.0007095153563103852,1.5911025116455497,3.400058012914542e-15,9.128759310614315e-09
isoAlpha,frameA,512,0.0002062066136355969,1.7827433046181922,9.658940314238862e-15,1.7737708223761024e-06
